total,dealer,soft,can_double,pair,q_hit,q_stand,q_double,q_split,n_hit,n_stand,n_double,n_split
4,2,False,True,0,-0.10386965376782074,-0.31645569620253183,-0.9397590361445781,0.0,491,79,83,0
4,2,False,True,2,-0.12066894744504171,-0.2881448557271948,-0.579536560059708,-0.09191089415493416,54952,54896,54937,54901
4,3,False,True,0,-0.13767019667170932,-0.18881118881118877,-0.46399999999999997,0.0,661,143,125,0
4,3,False,True,2,-0.09116229244777689,-0.2448606178021745,-0.5153440292882513,-0.01220164829283954,9335,9291,9287,9343
4,4,False,True,0,-0.1484848484848484,-0.2971428571428571,-0.6206896551724135,0.0,330,350,116,0
4,4,False,True,2,-0.07202584568605104,-0.23051224944320695,-0.428211586901763,0.02076124567474052,5262,5388,5161,5202
4,5,False,True,0,-0.04066543438077633,-0.22935779816513766,-0.12121212121212122,0.0,541,109,264,0
4,5,False,True,2,-0.006721075372059546,-0.15564108732258847,-0.32882772179896813,0.12011577424023158,4166,4157,4069,4146
4,6,False,True,0,0.00853242320819112,-0.12162162162162167,-0.3741935483870968,0.0,586,148,155,0
4,6,False,True,2,-0.005094130675526029,-0.17307692307692282,-0.280599686730812,0.16057906458797314,4515,4472,4469,4490
4,7,False,True,0,-0.0834645669291339,-0.5370370370370368,-0.8571428571428572,0.0,635,108,105,0
4,7,False,True,2,-0.10345482156416104,-0.4572546097969832,-0.9329325568288576,0.0022940164404511867,5268,5369,5323,5231
4,8,False,True,0,-0.20888888888888874,-1.0,-0.6666666666666666,0.0,225,1,3,0
4,8,False,True,2,-0.16093471071961316,-0.5105613400523218,-1.0222037548574363,-0.17114994570895894,341710,341718,341744,341677
4,9,False,True,0,-0.2716981132075471,-1.0,-1.0,0.0,265,2,16,0
4,9,False,True,2,-0.26894959599846074,-0.5467213114754107,-1.1051383399209487,-0.370604504148558,2599,2440,2530,2531
4,10,False,True,0,-0.3205506391347102,-1.0,-2.0,0.0,1017,1,1,0
4,10,False,True,2,-0.3030980041703896,-0.5543116490166409,-1.0966565349544097,-0.47423139759394095,6714,6610,6580,6733
4,11,False,True,0,-0.2571428571428573,-0.5,-1.0,0.0,210,8,8,0
4,11,False,True,2,-0.2485511912427554,-0.6932746700188562,-1.3929471032745586,-0.43266102797657807,1553,1591,1588,1537
5,2,False,True,0,-0.13909948940120714,-0.2636060718252506,-0.5822784810126582,0.0,6463,5402,5451,0
5,3,False,True,0,-0.09357153316737424,-0.24960643694245158,-0.4965097547878998,0.0,6829,5717,5587,0
5,4,False,True,0,-0.08609073214553087,-0.20404478150957037,-0.3709734513274339,0.0,6679,5538,5650,0
5,5,False,True,0,-0.03510261854210902,-0.18998673740053074,-0.3692466816066194,0.0,7065,6032,5801,0
5,6,False,True,0,0.02105411897696762,-0.17274535809018587,-0.3047460449625318,0.0,7077,6032,6005,0
5,7,False,True,0,-0.10641603231318947,-0.4895065229722063,-0.9496101920517207,0.0,6437,5289,5259,0
5,8,False,True,0,-0.20066580358794125,-0.5237520128824454,-1.040032025620498,0.0,5407,4968,4996,0
5,9,False,True,0,-0.2666666666666657,-0.5466179159049364,-1.0502319951583619,0.0,5520,4923,4957,0
5,10,False,True,0,-0.3247549019607858,-0.5307517084282465,-1.0866986082591827,0.0,19584,17560,17532,0
5,11,False,True,0,-0.2867242733699923,-0.675539366769403,-1.3558178752107901,0.0,3819,3569,3558,0
6,2,False,False,0,-0.128099173553719,-0.365079365079365,0.0,0.0,242,63,0,0
6,2,False,True,0,-0.1465824869612954,-0.2918927807926339,-0.5765148921602194,0.0,7286,6081,5842,0
6,2,False,True,3,-0.14132293960365463,-0.2929636478690557,-0.5642621788519504,-0.1366087922930238,1627648,1627690,1627637,1627721
6,3,False,False,0,-0.18817204301075266,-0.33333333333333337,0.0,0.0,186,15,0,0
6,3,False,True,0,-0.08874572705758638,-0.27224785761371123,-0.5010727842878371,0.0,7606,6068,6059,0
6,3,False,True,3,-0.11362796346163996,-0.2636662774652378,-0.4772811621865236,-0.04921239031610106,18939,18842,18861,18918
6,4,False,False,0,-0.15555555555555556,-0.14529914529914528,0.0,0.0,90,117,0,0
6,4,False,True,0,-0.06553755522827705,-0.21487603305785183,-0.37879968823070936,0.0,6790,5324,5132,0
6,4,False,True,3,-0.06377410468319564,-0.21227551090621355,-0.39775142249948586,0.005573138846841831,14520,14533,14587,14534
6,5,False,False,0,-0.5,-0.18556701030927836,0.0,0.0,12,194,0,0
6,5,False,True,0,-0.03381347656250003,-0.16502201305601943,-0.3293681446006491,0.0,8192,6587,6473,0
6,5,False,True,3,-0.03308170515097683,-0.1768052516411382,-0.34846461949265617,0.11644603993717753,4504,4570,4494,4457
6,6,False,False,0,0.1401273885350319,0.03448275862068964,0.0,0.0,157,29,0,0
6,6,False,True,0,-0.02708894878706191,-0.1497805092186128,-0.21782524951847312,0.0,7420,5695,5711,0
6,6,False,True,3,-0.027477919528949922,-0.15728715728715728,-0.3166276346604211,0.22927522501184272,2038,2079,2135,2111
6,7,False,False,0,-0.23999999999999996,-0.5609756097560975,0.0,0.0,175,41,0,0
6,7,False,True,0,-0.14602307225258054,-0.4586112200863088,-0.8927105726011317,0.0,6588,5098,5117,0
6,7,False,True,3,-0.1427309662603777,-0.47899752912107396,-0.8898970511254585,-0.048557353976073137,5661,5666,5731,5684
6,8,False,False,0,-0.20306513409961674,-0.5072463768115941,0.0,0.0,261,138,0,0
6,8,False,True,0,-0.2133447390932417,-0.5183309702248333,-1.0185110663983894,0.0,5845,4937,4970,0
6,8,False,True,3,-0.2181953254471626,-0.512307199902449,-1.0033683247918403,-0.2266974541283956,524970,524896,524890,524889
6,9,False,False,0,-0.24817518248175194,-0.584,0.0,0.0,274,125,0,0
6,9,False,True,0,-0.28304547056750035,-0.5231813773035892,-1.062797927461139,0.0,5674,5155,4825,0
6,9,False,True,3,-0.24470684039087942,-0.5376644081307294,-1.0412955465587035,-0.4424707307226478,2456,2509,2470,2477
6,10,False,False,0,-0.31936127744510934,-0.5189309576837421,0.0,0.0,1002,449,0,0
6,10,False,True,0,-0.33402664289605516,-0.5348540251900822,-1.0535341830822653,0.0,20193,17229,17260,0
6,10,False,True,3,-0.3482808022922632,-0.5303936569759323,-1.0615233000140807,-0.5156075808249724,6980,7189,7103,7176
6,11,False,False,0,-0.26111111111111096,-0.6363636363636362,0.0,0.0,180,99,0,0
6,11,False,True,0,-0.2811671087533151,-0.6664791901012359,-1.2679519418832068,0.0,4147,3556,3579,0
6,11,False,True,3,-0.3124210526315789,-0.6765847347994829,-1.319467554076539,-0.44093178036605657,2375,2319,2404,2404
7,2,False,False,0,-0.1498905908096281,-0.2901234567901234,0.0,0.0,914,324,0,0
7,2,False,True,0,-0.12199142762941001,-0.296582351805368,-0.451023743151013,0.0,12132,10358,10403,0
7,3,False,False,0,-0.09481808158765151,-0.25090909090909086,0.0,0.0,907,275,0,0
7,3,False,True,0,-0.0701944745847591,-0.2491283992429523,-0.3535108958837771,0.0,11981,10039,9912,0
7,4,False,False,0,-0.0488431876606684,-0.13527851458885942,0.0,0.0,778,377,0,0
7,4,False,True,0,-0.04141037858442363,-0.206694732518739,-0.25927419354838716,0.0,11543,9739,9920,0
7,5,False,False,0,0.005382131324004297,-0.20521172638436477,0.0,0.0,929,307,0,0
7,5,False,True,0,-0.020876166376719962,-0.1567527123082685,-0.20451977401129978,0.0,12646,10692,10620,0
7,6,False,False,0,0.04520990312163617,-0.18411552346570378,0.0,0.0,929,277,0,0
7,6,False,True,0,0.026338548628036827,-0.16168683812405457,-0.14606741573033677,0.0,12719,10576,10502,0
7,7,False,False,0,-0.026260504201680662,-0.38461538461538447,0.0,0.0,952,286,0,0
7,7,False,True,0,-0.06884925916067809,-0.4823161189358366,-0.5284021250510773,0.0,11271,9585,9788,0
7,8,False,False,0,-0.24172185430463583,-0.540469973890339,0.0,0.0,906,383,0,0
7,8,False,True,0,-0.2015141602018878,-0.5186078205262614,-0.8413635892653634,0.0,10699,9539,9651,0
7,9,False,False,0,-0.3180873180873179,-0.5660847880299247,0.0,0.0,962,401,0,0
7,9,False,True,0,-0.2828302066469853,-0.5608438117011303,-0.9822597676874321,0.0,10501,9623,9470,0
7,10,False,False,0,-0.339169139465875,-0.5561877667140823,0.0,0.0,3370,1406,0,0
7,10,False,True,0,-0.3219044094321674,-0.5394709741960111,-0.9596717467760868,0.0,37828,33987,34120,0
7,11,False,False,0,-0.3273026315789475,-0.6205787781350481,0.0,0.0,608,311,0,0
7,11,False,True,0,-0.32202469805943745,-0.6615571406890265,-1.1454268292682879,0.0,7369,6589,6560,0
8,2,False,False,0,-0.057285873192436006,-0.2638036809815949,0.0,0.0,1798,652,0,0
8,2,False,True,0,-0.014903764265031413,-0.29149959903769085,-0.19012797074954238,0.0,11742,9976,9846,0
8,2,False,True,4,-0.005094396164219344,-0.30818767249310025,-0.24087591240875955,-0.19006798699379263,3337,3261,3288,3383
8,3,False,False,0,0.020585048754062803,-0.3439716312056737,0.0,0.0,1846,564,0,0
8,3,False,True,0,0.008445818565719018,-0.254518627812615,-0.13743119266055082,0.0,13261,10844,10900,0
8,3,False,True,4,0.0025941939468808136,-0.2562988705473491,-0.15860115749291928,-0.07124142233312555,8095,8057,8121,8015
8,4,False,False,0,0.0408505875769447,-0.20774647887323966,0.0,0.0,1787,568,0,0
8,4,False,True,0,0.03691376701966722,-0.2108855920633474,-0.08552690683676228,0.0,13220,10987,11131,0
8,4,False,True,4,0.029403354937094825,-0.21297359357060758,-0.05426133640111197,-0.018339398582646986,20984,20904,20862,20884
8,5,False,False,0,0.08712328767123304,-0.20401337792642157,0.0,0.0,1825,598,0,0
8,5,False,True,0,0.06806516402588692,-0.1551448373911494,-0.032706902782797254,0.0,13443,11254,11068,0
8,5,False,True,4,0.06793228117454077,-0.16050931610699007,-0.00026688017080333794,0.0981833217734625,74957,74924,74940,74972
8,6,False,False,0,0.13243243243243202,-0.1454545454545456,0.0,0.0,1850,550,0,0
8,6,False,True,0,0.11194474216982256,-0.14747474747474715,0.07765793528505367,0.0,25191,22770,22715,0
8,6,False,True,4,0.11168034458566603,-0.15259936342120223,0.08660056102811708,0.14461919989558134,61291,61265,61316,61292
8,7,False,False,0,0.10727762803234506,-0.5222222222222216,0.0,0.0,1855,540,0,0
8,7,False,True,0,0.08671016483516426,-0.4795345938084359,-0.20590323562227394,0.0,11648,9626,9859,0
8,7,False,True,4,0.07954858243875584,-0.4817023583627,-0.16343042071197417,-0.10918450284475767,3633,3689,3708,3691
8,8,False,False,0,-0.06249999999999991,-0.5244565217391294,0.0,0.0,1808,736,0,0
8,8,False,True,0,-0.06030661248614709,-0.49895876718034105,-0.4676616915422889,0.0,10828,9604,9447,0
8,8,False,True,4,-0.09695945945945948,-0.5053838138242448,-0.4581742450538012,-0.297683923705722,2960,2879,2881,2936
8,9,False,False,0,-0.20323084940072947,-0.5712515489467163,0.0,0.0,1919,807,0,0
