kind,total,dealer,state,best,ev_stand,ev_hit,ev_double,ev_split
hard,5,2,"(5, 2, False, True, 0)",hit,-0.2865443008402951,-0.125854665912235,-0.5730886016805902,
hard,6,2,"(6, 2, False, True, 0)",hit,-0.2865443008402951,-0.13807302929133147,-0.5530679735908629,
hard,7,2,"(7, 2, False, True, 0)",hit,-0.2865443008402951,-0.10957748444769838,-0.4319577275553499,
hard,8,2,"(8, 2, False, True, 0)",hit,-0.2865443008402951,-0.02450683028991735,-0.20661994080848184,
hard,9,2,"(9, 2, False, True, 0)",hit,-0.2865443008402951,0.07223280896319335,0.05878555692632634,
hard,10,2,"(10, 2, False, True, 0)",double,-0.2865443008402951,0.1809761241455195,0.3569071974837269,
hard,11,2,"(11, 2, False, True, 0)",double,-0.2865443008402951,0.2375832654125679,0.4701214800178237,
hard,12,2,"(12, 2, False, True, 0)",hit,-0.2865443008402951,-0.2537514705927661,-0.5075029411855322,
hard,13,2,"(13, 2, False, True, 0)",stand,-0.2865443008402951,-0.3086326782204357,-0.6172653564408714,
hard,14,2,"(14, 2, False, True, 0)",stand,-0.2865443008402951,-0.3635138858481053,-0.7270277716962106,
hard,15,2,"(15, 2, False, True, 0)",stand,-0.2865443008402951,-0.4183950934757749,-0.8367901869515498,
hard,16,2,"(16, 2, False, True, 0)",stand,-0.2865443008402951,-0.47327630110344454,-0.9465526022068891,
hard,17,2,"(17, 2, False, True, 0)",stand,-0.15641021825706786,-0.5381678227759777,-1.0763356455519555,
hard,18,2,"(18, 2, False, True, 0)",stand,0.11027005064085812,-0.623573211286813,-1.247146422573626,
hard,19,2,"(19, 2, False, True, 0)",stand,0.37811050632056886,-0.7295817117730107,-1.4591634235460214,
soft,13,2,"(13, 2, True, True, 0)",hit,-0.2865443008402951,0.046611316056980594,-0.06845328016417529,
soft,14,2,"(14, 2, True, True, 0)",hit,-0.2865443008402951,0.022814486278603743,-0.06845328016417532,
soft,15,2,"(15, 2, True, True, 0)",hit,-0.2865443008402951,0.0007174300558252548,-0.06845328016417529,
soft,16,2,"(16, 2, True, True, 0)",hit,-0.2865443008402951,-0.01980126500818335,-0.06845328016417529,
soft,17,2,"(17, 2, True, True, 0)",hit,-0.15641021825706786,-0.0016731725438406848,-0.008391395894993499,
soft,18,2,"(18, 2, True, True, 0)",double,0.11027005064085812,0.05986842797106533,0.1146918051348185,
soft,19,2,"(19, 2, True, True, 0)",stand,0.37811050632056886,0.12167776389715243,0.2383104769869927,
soft,20,2,"(20, 2, True, True, 0)",stand,0.6350700673968263,0.1809761241455195,0.3569071974837269,
pair,2,2,"(4, 2, False, True, 2)",split,-0.2865443008402951,-0.11285543771123714,-0.5730886016805902,-0.08923085038488605
pair,3,2,"(6, 2, False, True, 3)",split,-0.2865443008402951,-0.13807302929133147,-0.5530679735908629,-0.13474841710027397
pair,4,2,"(8, 2, False, True, 4)",hit,-0.2865443008402951,-0.02450683028991735,-0.20661994080848184,-0.1628694465080953
pair,5,2,"(10, 2, False, True, 5)",double,-0.2865443008402951,0.1809761241455195,0.3569071974837269,-0.18886790291009103
pair,6,2,"(12, 2, False, True, 6)",split,-0.2865443008402951,-0.2537514705927661,-0.5075029411855322,-0.21330462966828398
pair,7,2,"(14, 2, False, True, 7)",split,-0.2865443008402951,-0.3635138858481053,-0.7270277716962106,-0.15563327005887007
pair,8,2,"(16, 2, False, True, 8)",split,-0.2865443008402951,-0.47327630110344454,-0.9465526022068891,0.013827768334544265
pair,9,2,"(18, 2, False, True, 9)",split,0.11027005064085812,-0.623573211286813,-1.247146422573626,0.18024072786565684
pair,10,2,"(20, 2, False, True, 10)",stand,0.6350700673968263,-0.8553563323419973,-1.7107126646839945,0.361952248291039
pair,11,2,"(12, 2, True, True, 11)",split,-0.2865443008402951,0.0798062474138931,-0.06845328016417529,0.4701214800178237
hard,5,3,"(5, 3, False, True, 0)",hit,-0.24663577379217244,-0.0931858053133976,-0.49327154758434494,
hard,6,3,"(6, 3, False, True, 0)",hit,-0.24663577379217244,-0.10487404133749784,-0.47383646588301315,
hard,7,3,"(7, 3, False, True, 0)",hit,-0.24663577379217244,-0.07693756788495021,-0.35635997911290457,
hard,8,3,"(8, 3, False, True, 0)",hit,-0.24663577379217244,0.005567930875393198,-0.13813222243370762,
hard,9,3,"(9, 3, False, True, 0)",double,-0.24663577379217244,0.0992731607381433,0.11871708619491318,
hard,10,3,"(10, 3, False, True, 0)",double,-0.24663577379217244,0.2047167440781116,0.4074920116323713,
hard,11,3,"(11, 3, False, True, 0)",double,-0.24663577379217244,0.2596346581317173,0.5173278397395827,
hard,12,3,"(12, 3, False, True, 0)",hit,-0.24663577379217244,-0.234016176387135,-0.46803235277427,
hard,13,3,"(13, 3, False, True, 0)",stand,-0.24663577379217244,-0.291967270710814,-0.583934541421628,
hard,14,3,"(14, 3, False, True, 0)",stand,-0.24663577379217244,-0.3499183650344931,-0.6998367300689862,
hard,15,3,"(15, 3, False, True, 0)",stand,-0.24663577379217244,-0.40786945935817215,-0.8157389187163443,
hard,16,3,"(16, 3, False, True, 0)",stand,-0.24663577379217244,-0.46582055368185116,-0.9316411073637023,
hard,17,3,"(17, 3, False, True, 0)",stand,-0.12030774273351591,-0.5334891888561962,-1.0669783777123925,
hard,18,3,"(18, 3, False, True, 0)",stand,0.1379772970375636,-0.6210259040129318,-1.2420518080258636,
hard,19,3,"(19, 3, False, True, 0)",stand,0.39698952530936893,-0.728486636729037,-1.456973273458074,
soft,13,3,"(13, 3, True, True, 0)",hit,-0.24663577379217244,0.07409648250815358,-0.004423598184837625,
soft,14,3,"(14, 3, True, True, 0)",hit,-0.24663577379217244,0.05118703562955886,-0.004423598184837625,
soft,15,3,"(15, 3, True, True, 0)",hit,-0.24663577379217244,0.029913977813720904,-0.004423598184837625,
soft,16,3,"(16, 3, True, True, 0)",hit,-0.24663577379217244,0.010160424127585692,-0.004423598184837615,
soft,17,3,"(17, 3, True, True, 0)",double,-0.12030774273351591,0.027911561721504836,0.053881646919157714,
soft,18,3,"(18, 3, True, True, 0)",double,0.1379772970375636,0.087515801668677,0.1730901268135021,
soft,19,3,"(19, 3, True, True, 0)",stand,0.39698952530936893,0.14728785434678593,0.29263423216971995,
soft,20,3,"(20, 3, True, True, 0)",stand,0.6458480474784468,0.2047167440781116,0.4074920116323713,
pair,2,3,"(4, 3, False, True, 2)",split,-0.24663577379217244,-0.0807615525333353,-0.49327154758434494,-0.025941895641124146
pair,3,3,"(6, 3, False, True, 3)",split,-0.24663577379217244,-0.10487404133749784,-0.47383646588301315,-0.06080996646459247
pair,4,3,"(8, 3, False, True, 4)",hit,-0.24663577379217244,0.005567930875393198,-0.13813222243370762,-0.08769043204837905
pair,5,3,"(10, 3, False, True, 5)",double,-0.24663577379217244,0.2047167440781116,0.4074920116323713,-0.11253893760850361
pair,6,3,"(12, 3, False, True, 6)",split,-0.24663577379217244,-0.234016176387135,-0.46803235277427,-0.1319200119339883
pair,7,3,"(14, 3, False, True, 7)",split,-0.24663577379217244,-0.3499183650344931,-0.6998367300689862,-0.07464048893992599
pair,8,3,"(16, 3, False, True, 8)",split,-0.24663577379217244,-0.46582055368185116,-0.9316411073637023,0.0819771616218826
pair,9,3,"(18, 3, False, True, 9)",split,0.1379772970375636,-0.6210259040129318,-1.2420518080258636,0.23819142633903512
pair,10,3,"(20, 3, False, True, 10)",stand,0.6458480474784468,-0.8550903326889177,-1.7101806653778353,0.4094334881562232
pair,11,3,"(12, 3, True, True, 11)",split,-0.24663577379217244,0.10168040931703344,-0.004423598184837625,0.5173278397395827
hard,5,4,"(5, 4, False, True, 0)",hit,-0.20584968608305465,-0.05886893847750462,-0.41169937216610936,
hard,6,4,"(6, 4, False, True, 0)",hit,-0.20584968608305465,-0.07007777334728602,-0.39286773629674576,
hard,7,4,"(7, 4, False, True, 0)",hit,-0.20584968608305465,-0.04282636771707132,-0.2791237996724039,
hard,8,4,"(8, 4, False, True, 0)",hit,-0.20584968608305465,0.03701077509451457,-0.06815133225373485,
hard,9,4,"(9, 4, False, True, 0)",double,-0.20584968608305465,0.12758849558767746,0.1799996145698442,
