rule,kind,total,dealer,agent,optimal,cost,frequency,ev_stand,ev_hit,ev_double,ev_split
S17,hard,5,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,-0.12821556706374754,-0.5855674544185547,
S17,hard,6,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,-0.14075911746001996,-0.5640583560296725,
S17,hard,7,2,hit,hit,0.0,0.001820664542558034,-0.29278372720927737,-0.10918342786661638,-0.4357578871045384,
S17,hard,8,2,hit,hit,0.0,0.001820664542558034,-0.29278372720927737,-0.021798188008805695,-0.20449052049882196,
S17,hard,9,2,hit,hit,0.0,0.002730996813837051,-0.29278372720927737,0.07444603757634054,0.061118503166597005,
S17,hard,10,2,double,double,0.0,0.002730996813837051,-0.29278372720927737,0.18249999400904493,0.3589394124422992,
S17,hard,11,2,double,double,0.0,0.0036413290851160683,-0.29278372720927737,0.23835074945762982,0.470640923339469,
S17,hard,12,2,hit,hit,0.0,0.006372325898953118,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,
S17,hard,13,2,stand,stand,0.0,0.006372325898953118,-0.29278372720927737,-0.30779123771977057,-0.6155824754395411,
S17,hard,14,2,stand,stand,0.0,0.005461993627674102,-0.29278372720927737,-0.36219248947290306,-0.7243849789458061,
S17,hard,15,2,stand,stand,0.0,0.005461993627674102,-0.29278372720927737,-0.41659374122603565,-0.8331874824520713,
S17,hard,16,2,stand,stand,0.0,0.004551661356395085,-0.29278372720927737,-0.47099499297916814,-0.9419899859583363,
S17,hard,17,2,stand,stand,0.0,0.004551661356395085,-0.15297458768154204,-0.5361507939267419,-1.0723015878534838,
S17,hard,18,2,stand,stand,0.0,0.003641329085116068,0.12174190222088771,-0.6224386325591178,-1.2448772651182356,
S17,hard,19,2,stand,stand,0.0,0.003641329085116068,0.38630468602059,-0.7290774545607017,-1.4581549091214034,
S17,soft,13,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,0.046636132695309515,-0.07156995790821605,
S17,soft,14,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,0.02239185698783903,-0.07156995790821605,
S17,soft,15,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,-0.00012068474052642254,-0.07156995790821608,
S17,soft,16,2,hit,hit,0.0,0.000910332271279017,-0.29278372720927737,-0.021025187774008622,-0.07156995790821603,
S17,soft,17,2,hit,hit,0.0,0.000910332271279017,-0.15297458768154204,-0.0004910435828891589,-0.007042662741568968,
S17,soft,18,2,double,stand,0.0019923388536429443,0.000910332271279017,0.12174190222088771,0.06290506947151772,0.11974956336724477,
S17,soft,19,2,stand,stand,0.0,0.000910332271279017,0.38630468602059,0.12395801957914132,0.241855463582492,
S17,soft,20,2,stand,stand,0.0,0.000910332271279017,0.6399865752168389,0.18249999400904493,0.3589394124422992,
S17,pair,2,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,-0.1149133276189214,-0.5855674544185547,-0.08888724089711461
S17,pair,3,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,-0.14075911746001996,-0.5640583560296725,-0.13816353305492143
S17,pair,4,2,hit,hit,0.0,0.0004551661356395085,-0.29278372720927737,-0.021798188008805695,-0.20449052049882196,-0.1669451794970592
S17,pair,5,2,double,double,0.0,0.0004551661356395085,-0.29278372720927737,0.18249999400904493,0.3589394124422992,-0.19354965838671145
S17,pair,6,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,-0.2533899859666381,-0.5067799719332762,-0.21863675917925632
S17,pair,7,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,-0.36219248947290306,-0.7243849789458061,-0.15548537999244913
S17,pair,8,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,-0.47099499297916814,-0.9419899859583363,0.01928509972317223
S17,pair,9,2,split,split,0.0,0.0004551661356395085,0.12174190222088771,-0.6224386325591178,-1.2448772651182356,0.18462902498065634
S17,pair,10,2,stand,stand,0.0,0.007282658170232136,0.6399865752168389,-0.85523026803892,-1.71046053607784,0.36499998801808986
S17,pair,11,2,split,split,0.0,0.0004551661356395085,-0.29278372720927737,0.08183621605165609,-0.07156995790821605,0.470640923339469
S17,hard,5,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,-0.09531022726148984,-0.5045004584714271,
S17,hard,6,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,-0.10729107800860833,-0.4837259988081748,
S17,hard,7,3,hit,hit,0.0,0.001820664542558034,-0.2522502292357135,-0.07658298190446353,-0.3597794964219525,
S17,hard,8,3,hit,hit,0.0,0.001820664542558034,-0.2522502292357135,0.008005262530654752,-0.13621609509408666,
S17,hard,9,3,double,double,0.0,0.002730996813837051,-0.2522502292357135,0.10126470173887683,0.12081635332999668,
S17,hard,10,3,double,double,0.0,0.002730996813837051,-0.2522502292357135,0.206087975813941,0.40932067017593937,
S17,hard,11,3,double,double,0.0,0.0036413290851160683,-0.2522502292357135,0.2603252672870798,0.517795253122217,
S17,hard,12,3,hit,hit,0.0,0.006372325898953118,-0.2522502292357135,-0.23369089979808655,-0.4673817995961731,
S17,hard,13,3,stand,stand,0.0,0.006372325898953118,-0.2522502292357135,-0.29121011293380095,-0.5824202258676019,
S17,hard,14,3,stand,stand,0.0,0.005461993627674102,-0.2522502292357135,-0.34872932606951523,-0.6974586521390305,
S17,hard,15,3,stand,stand,0.0,0.005461993627674102,-0.2522502292357135,-0.40624853920522963,-0.8124970784104593,
S17,hard,16,3,stand,stand,0.0,0.004551661356395085,-0.2522502292357135,-0.463767752340944,-0.927535504681888,
S17,hard,17,3,stand,stand,0.0,0.004551661356395085,-0.11721624142457354,-0.5316741953082844,-1.0633483906165688,
S17,hard,18,3,stand,stand,0.0,0.003641329085116068,0.14830007284131125,-0.6200049701422315,-1.240009940284463,
S17,hard,19,3,stand,stand,0.0,0.003641329085116068,0.4043629365977601,-0.7280328883420591,-1.4560657766841183,
S17,soft,13,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,0.07411881339274413,-0.007228094510458347,
S17,soft,14,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,0.050806738919282855,-0.007228094510458347,
S17,soft,15,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,0.029159812622497405,-0.007228094510458402,
S17,soft,16,3,hit,hit,0.0,0.000910332271279017,-0.2522502292357135,0.009059095346910892,-0.007228094510458409,
S17,soft,17,3,double,double,0.0,0.000910332271279017,-0.11721624142457354,0.028975282965620568,0.0550952844792985,
S17,soft,18,3,double,double,0.0,0.000910332271279017,0.14830007284131125,0.09024827856544015,0.17764127567893773,
S17,soft,19,3,stand,stand,0.0,0.000910332271279017,0.4043629365977601,0.14933970866308222,0.29582413587422185,
S17,soft,20,3,stand,stand,0.0,0.000910332271279017,0.6502720942514815,0.206087975813941,0.40932067017593937,
S17,pair,2,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,-0.08261331429974432,-0.5045004584714271,-0.02561613047924621
S17,pair,3,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,-0.10729107800860833,-0.4837259988081748,-0.06386643474421719
S17,pair,4,3,hit,hit,0.0,0.0004551661356395085,-0.2522502292357135,0.008005262530654752,-0.13621609509408666,-0.0913413467859109
S17,pair,5,3,double,double,0.0,0.0004551661356395085,-0.2522502292357135,0.206087975813941,0.40932067017593937,-0.11673517270940191
S17,pair,6,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,-0.23369089979808655,-0.4673817995961731,-0.1366784124323038
S17,pair,7,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,-0.34872932606951523,-0.6974586521390305,-0.0747666507895606
S17,pair,8,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,-0.463767752340944,-0.927535504681888,0.08688786047625346
S17,pair,9,3,split,split,0.0,0.0004551661356395085,0.14830007284131125,-0.6200049701422315,-1.240009940284463,0.24214017052931325
S17,pair,10,3,stand,stand,0.0,0.007282658170232136,0.6502720942514815,-0.8549768955921732,-1.7099537911843463,0.412175951627882
S17,pair,11,3,split,split,0.0,0.0004551661356395085,-0.2522502292357135,0.10350704654207785,-0.007228094510458319,0.517795253122217
S17,hard,5,4,hit,hit,0.0,0.000910332271279017,-0.21106310899491437,-0.06147946419969428,-0.42212621798982886,
S17,hard,6,4,hit,hit,0.0,0.000910332271279017,-0.21106310899491437,-0.07291714192638733,-0.4020508740129676,
S17,hard,7,4,hit,hit,0.0,0.001820664542558034,-0.21106310899491437,-0.043021794004341904,-0.28229906574509145,
S17,hard,8,4,hit,hit,0.0,0.001820664542558034,-0.21106310899491437,0.038784473277208784,-0.06637207115265838,
S17,hard,9,4,double,double,0.0,0.002730996813837051,-0.21106310899491437,0.12898088119574175,0.18194893405242163,
S17,hard,10,4,double,double,0.0,0.002730996813837051,-0.21106310899491437,0.23047012189717694,0.4609402437943539,
S17,hard,11,4,double,double,0.0,0.0036413290851160683,-0.21106310899491437,0.2830202752089879,0.5660405504179759,
S17,hard,12,4,stand,stand,0.0,0.006372325898953118,-0.21106310899491437,-0.213536553245077,-0.427073106490154,
S17,hard,13,4,stand,stand,0.0,0.006372325898953118,-0.21106310899491437,-0.2742240063993144,-0.5484480127986288,
S17,hard,14,4,stand,stand,0.0,0.005461993627674102,-0.21106310899491437,-0.3349114595535517,-0.6698229191071035,
S17,hard,15,4,stand,stand,0.0,0.005461993627674102,-0.21106310899491437,-0.3955989127077891,-0.7911978254155781,
S17,hard,16,4,stand,stand,0.0,0.004551661356395085,-0.21106310899491437,-0.4562863658620264,-0.9125727317240528,
S17,hard,17,4,stand,stand,0.0,0.004551661356395085,-0.08057337314531615,-0.5270114910046944,-1.0540229820093887,
S17,hard,18,4,stand,stand,0.0,0.003641329085116068,0.17585443719748522,-0.6174618323275779,-1.2349236646551558,
S17,hard,19,4,stand,stand,0.0,0.003641329085116068,0.42317892482749647,-0.7269371342373854,-1.4538742684747707,
S17,soft,13,4,hit,hit,0.0,0.000910332271279017,-0.21106310899491437,0.10247714687203514,0.05842651874374485,
S17,soft,14,4,hit,hit,0.0,0.000910332271279017,-0.21106310899491437,0.08008141431011018,0.05842651874374485,
S17,soft,15,4,hit,hit,0.0,0.000910332271279017,-0.21106310899491437,0.05928537693117985,0.05842651874374485,
S17,soft,16,4,double,double,0.0,0.000910332271279017,-0.21106310899491437,0.0399747707936017,0.05842651874374486,
S17,soft,17,4,double,double,0.0,0.000910332271279017,-0.08057337314531615,0.05932627533716435,0.1186525506743287,
S17,soft,18,4,double,double,0.0,0.000910332271279017,0.17585443719748522,0.11850192387781083,0.23700384775562167,
S17,soft,19,4,stand,stand,0.0,0.000910332271279017,0.42317892482749647,0.17557680563858263,0.35115361127716527,
S17,soft,20,4,stand,stand,0.0,0.000910332271279017,0.6610499619480718,0.23047012189717694,0.4609402437943539,
S17,pair,2,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,-0.04936742010691695,-0.42212621798982886,0.0429466295687688
S17,pair,3,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,-0.07291714192638733,-0.4020508740129676,0.014624872422626913
S17,pair,4,4,hit,hit,0.0,0.0004551661356395085,-0.21106310899491437,0.038784473277208784,-0.06637207115265838,-0.01158738637339623
S17,pair,5,4,double,double,0.0,0.0004551661356395085,-0.21106310899491437,0.23047012189717694,0.4609402437943539,-0.03297274410508268
S17,pair,6,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,-0.213536553245077,-0.427073106490154,-0.049559710729696324
S17,pair,7,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,-0.3349114595535517,-0.6698229191071035,0.010511467456082564
S17,pair,8,4,split,split,0.0,0.0004551661356395085,-0.21106310899491437,-0.4562863658620264,-0.9125727317240528,0.15656746918613526
S17,pair,9,4,split,split,0.0,0.0004551661356395085,0.17585443719748522,-0.6174618323275779,-1.2349236646551558,0.3015033431928663
